active_weeks,target_variable,total_volume,trader_activity_status,trader_volume_status,trader_weekly_frequency_status,tx_count_365d,wallet
2,🔴 Bad Trader,13.134103272642939,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,3,0xe80541419bc4ae8ff263f595ecf0b2727ea8fbfb
1,🔴 Bad Trader,177.922643477,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x1c91ff73b3e98d3ac63dcedbb83d5a16ed144e6e
2,🔴 Bad Trader,56.43919962667898,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,4,0x0ecf78c952f8598d9578f27c03f018971de580ce
1,🔴 Bad Trader,0.3773897549398537,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0xdab65dcadac66085d7cb97e3036121344f8c9b50
1,🔴 Bad Trader,77.85008524651106,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x3ccade2bba72905cd2a6c3c1e9a113d06887694c
2,🔴 Bad Trader,71.2967202306709,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,4,0xdfcf172aa366be660875c330b708b7af9a44605e
1,🔴 Bad Trader,123.78464719735058,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x8d39926381b20b99c741900dba0613a3ccd35fea
1,🔴 Bad Trader,437.73601,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x945b80d3140ecce3db0d857af7c3f283af33494b
1,🔴 Bad Trader,1.4349642859265936,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x41c084ad359f1d98a533d9a53c77b688401ead4a
1,🔴 Bad Trader,0.0387377,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0xf0d5aa13b6d3f68bf3d19a50aaa1164f2b0c3e4e
2,🔴 Bad Trader,49.63532402757576,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,2,0x9d96ec9025865866097c0d0e7d46aa6b41c11794
1,🔴 Bad Trader,2280.6652720971833,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x602bffa41a61981d3d9d546c6b10990ba67d134a
1,🔴 Bad Trader,0.5131718976537668,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x42cefe3a56fdf9b8be21f9d4ffd7fda64f2e7a4e
2,🔴 Bad Trader,0.7417494796,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,7,0xae703b9f4c3193871a1a4ba77409fc312af581b1
1,🔴 Bad Trader,171.6261471948401,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x23a447027fab6fc7ddf49ef21937eaf557308ff5
1,🔴 Bad Trader,3.87377e-07,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x6eb8f80fa58ee0a088e64e301734bc29dcf59e69
1,🔴 Bad Trader,42.72704271689715,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x417134ed823c699ce18e99810ab4375eb2522a57
2,🔴 Bad Trader,40.06441089610655,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,8,0xe87c43fd83e309dcff0e6c2bbeb7f6b7f9339fbe
1,🔴 Bad Trader,39.4102075065711,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x2f67fef4754f21d214b153e36ac3ab8d254d29bf
